cluster,expected_count,actual_count,missing_pages,duplicate_pages,sitemap_included,human_sitemap_included,linked_from_hub_page
High Intent Jindal Make Pages,18,18,,,yes,yes,yes
Price Enquiry Pages,10,10,,,yes,yes,yes
Equivalent Grade and Standard Pages,16,16,,,yes,yes,yes
Additional Grade Enquiry Pages,17,17,,,yes,yes,yes
Finish Intent Pages,10,10,,,yes,yes,yes
Local Micro-Location Pages,7,7,,,yes,yes,yes
City + Product Money Pages,26,26,,,yes,yes,yes
Blog Authority Pages,23,23,,,yes,yes,yes
Specification-enhanced product pages,16,16,,,yes,yes,yes
Footer Top Stainless Steel Pages,16,16,,,yes,yes,yes
Homepage money-keyword blocks,3,3,,,yes,yes,yes
