Page,Slug,Before word count,After word count,Target,Sections added,FAQ count,Popular search chips,Design card sections,QA status
"About Us","about-us/","377","1347","900-1400","10","10","10","4","PASS"
"Mission and Vision","mission-vision/","214","1016","800-1200","8","8","10","3","PASS"
"Industries We Serve","industries-we-serve/","651","1347","900-1400","6","9","10","1","PASS"
"Locations We Serve","locations-we-serve/","495","900","900-1400","9","9","10","4","PASS"
"Products","products/","1910","1297","900-1400","11","9","10","5","PASS"
"Stainless Steel","stainless-steel/","2268","1358","1000-1600","10","10","10","4","PASS"
"Request Quote","request-quote/","219","941","800-1200","8","10","10","1","PASS"
"Contact Us","contact-us/","175","723","600-900","7","8","10","2","PASS"
"Technical Data","technical-data/","252","1164","900-1300","10","9","10","1","PASS"
"Blog Index","blog/","496","798","500-800","6","7","10","1","PASS"
"Aluminium","aluminium/","366","741","700-1100","8","6","10","2","PASS"
"Brass","brass/","343","703","700-1100","8","6","10","2","PASS"
"Copper","copper/","338","700","700-1100","8","6","10","2","PASS"
